Время	Канал A	Канал B
(uс)	(mВ)	(mВ)

-25.06740840	-4.44084900	3.32834800
-25.04240840	-4.33402500	3.16048100
-25.01740841	-4.62397700	3.09791200
-24.99240841	-5.26492500	3.14369400
-24.96740841	-5.34122800	3.21389300
-24.94240841	-4.80710500	3.30850900
-24.91740841	-5.02075400	3.36955200
-24.89240841	-5.96691500	3.39396900
-24.86740842	-5.96691500	3.33445200
-24.84240842	-5.05127500	3.19710700
-24.81740842	-4.73080200	3.09333400
-24.79240842	-5.03601500	3.03076500
-24.76740842	-5.17336100	3.08417800
-24.74240842	-5.21914200	3.25509700
-24.71740842	-4.91392900	3.33597900
-24.69240843	-4.31876400	3.31919200
-24.66740843	-3.79990200	3.31614000
-24.64240843	-3.43364600	3.32071800
-24.61740843	-3.25051900	3.30087900
-24.59240843	-3.34208300	3.26425300
-24.56740843	-3.14369400	3.21236700
-24.54240843	-2.74691700	3.14827300
-24.51740844	-2.42644400	3.15895500
-24.49240844	-2.25857600	3.24746700
-24.46740844	-2.18227300	3.28561800
-24.44240844	-2.24331600	3.26730500
-24.41740844	-2.06018800	3.31614000
-24.39240844	-1.67867200	3.42601600
-24.36740844	-1.28189500	3.42449000
-24.34240845	-0.97668160	3.30850900
-24.31740845	-0.38151630	3.29172300
-24.29240845	0.39677690	3.37718200
-24.26740845	0.76303260	3.32682200
-24.24240845	0.67146860	3.14216800
-24.21740845	0.73251120	3.15285100
-24.19240846	0.90037840	3.35734300
-24.16740846	1.20559100	3.42143800
-24.14240846	1.60236800	3.34666100
-24.11740846	1.90758100	3.29324900
-24.09240846	2.07544900	3.25967500
-24.06740846	2.15175200	3.21999800
-24.04240846	2.09070900	3.17879400
-24.01740847	2.27383700	3.18947600
-23.99240847	2.64009300	3.25051900
-23.96740847	3.15895500	3.30240500
-23.94240847	3.75412000	3.34818700
-23.91740847	4.05933300	3.30698300
-23.89240847	4.01355100	3.17879400
-23.86740847	3.89146600	3.12996000
-23.84240848	3.64729500	3.16658500
-23.81740848	3.64729500	3.16505900
-23.79240848	3.86094500	3.12843400
-23.76740848	4.05933300	3.18642400
-23.74240848	4.18141800	3.32987400
-23.71740848	4.57819500	3.40007300
-23.69240848	5.15810000	3.38481300
-23.66740849	5.46331300	3.38328600
-23.64240849	5.49383400	3.38633800
-23.61740849	5.06653600	3.36650000
-23.59240849	4.22720000	3.32071800
-23.56740849	3.93724800	3.33140000
-23.54240849	4.21194000	3.39854700
-23.51740850	4.44084900	3.42143800
-23.49240850	4.65449900	3.40312500
-23.46740850	4.65449900	3.34360900
-23.44240850	4.44084900	3.24899300
-23.41740850	4.22720000	3.18795000
-23.39240850	4.01355100	3.16353300
-23.36740850	4.02881200	3.21847100
-23.34240851	4.27298200	3.35276500
-23.31740851	4.28824300	3.35123900
-23.29240851	4.04407300	3.21084100
-23.26740851	3.93724800	3.18795000
-23.24240851	3.93724800	3.27951400
-23.21740851	4.04407300	3.33140000
-23.19240851	4.28824300	3.34055700
-23.16740852	4.27298200	3.34666100
-23.14240852	4.02881200	3.34360900
-23.11740852	4.02881200	3.35123900
-23.09240852	4.27298200	3.36650000
-23.06740852	4.28824300	3.41075600
-23.04240852	4.04407300	3.48400700
-23.01740852	3.93724800	3.43517300
-22.99240853	3.93724800	3.26425300
-22.96740853	4.05933300	3.20168500
-22.94240853	4.31876400	3.24746700
-22.91740853	4.21194000	3.32071800
-22.89240853	3.78464200	3.42754200
-22.86740853	3.49468900	3.42601600
-22.84240854	3.38786500	3.31614000
-22.81740854	2.97582700	3.26272700
-22.79240854	2.36540100	3.26577900
-22.76740854	2.06018800	3.31003500
-22.74240854	2.16701200	3.40007300
-22.71740854	1.99914500	3.39854700
-22.69240854	1.61762900	3.30393100
-22.66740855	1.20559100	3.28104000
-22.64240855	0.83933580	3.32682200
-22.61740855	0.53412280	3.36039600
-22.59240855	0.36625560	3.38786500
-22.56740855	0.27469170	3.34666100
-22.54240855	0.30521300	3.23373200
-22.51740855	0.32047370	3.23525800
-22.49240856	0.35099500	3.34818700
-22.46740856	0.16786720	3.38176000
-22.44240856	-0.22890980	3.34208300
-22.41740856	-0.42729820	3.28104000
-22.39240856	-0.39677690	3.20168500
-22.36740856	-0.28995240	3.16200700
-22.34240857	-0.09156390	3.15895500
-22.31740857	0.09156390	3.21084100
-22.29240857	0.27469170	3.31766600
-22.26740857	0.25943110	3.33445200
-22.24240857	0.04578195	3.25967500
-22.21740857	0.03052130	3.25051900
-22.19240857	0.21364910	3.30545700
-22.16740858	0.39677690	3.29630100
-22.14240858	0.59516540	3.22610200
-22.11740858	0.70198990	3.22762800
-22.09240858	0.70198990	3.30240500
-22.06740858	0.59516540	3.29172300
-22.04240858	0.39677690	3.19710700
-22.01740858	0.19838850	3.18489800
-21.99240859	-0.04578195	3.25204500
-21.96740859	0.25943110	3.29172300
-21.94240859	1.05298500	3.30393100
-21.91740859	1.64815000	3.33292600
-21.89240859	1.98388500	3.37565600
-21.86740859	2.27383700	3.36497400
-21.84240859	2.44170400	3.30087900
-21.81740860	2.51800700	3.27035800
-21.79240860	2.45696500	3.27646200
-21.76740860	2.68587400	3.27035800
-21.74240860	3.21999700	3.24288800
-21.71740860	2.88426300	3.38328600
-21.69240860	1.66341100	3.68239500
-21.66740861	1.64815000	3.73122900
-21.64240861	2.82322000	3.52521100
-21.61740861	3.35734300	3.41228200
-21.59240861	3.20473700	3.39091700
-21.56740861	3.38786500	3.37870800
-21.54240861	3.84568400	3.38786500
-21.51740861	3.95250800	3.35886900
-21.49240862	3.70833800	3.29630100
-21.46740862	3.49468900	3.27798800
-21.44240862	3.28104000	3.30393100
-21.41740862	3.28104000	3.32529600
-21.39240862	3.49468900	3.34666100
